2021-10-14 16:50:47.923 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2021-10-14 16:50:47.923 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1766 ms
2021-10-14 16:50:48.264 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2021-10-14 16:50:48.532 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
2021-10-14 16:50:49.713 [main] INFO  o.s.b.actuate.endpoint.web.EndpointLinksResolver - Exposing 2 endpoint(s) beneath base path '/actuator'
2021-10-14 16:50:49.842 [main] INFO  s.d.s.w.PropertySourcedRequestMappingHandlerMapping - Mapped URL path [/v2/api-docs] onto method [springfox.documentation.swagger2.web.Swagger2Controller#getDocumentation(String, HttpServletRequest)]
2021-10-14 16:50:49.864 [main] INFO  com.netflix.config.sources.URLConfigurationSource - To enable URLs as dynamic configuration sources, define System property archaius.configurationSource.additionalUrls or make config.properties available on classpath.
2021-10-14 16:50:49.868 [main] INFO  com.netflix.config.sources.URLConfigurationSource - To enable URLs as dynamic configuration sources, define System property archaius.configurationSource.additionalUrls or make config.properties available on classpath.
2021-10-14 16:50:50.005 [main] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
2021-10-14 16:50:50.089 [main] INFO  o.s.scheduling.concurrent.ThreadPoolTaskScheduler - Initializing ExecutorService 'Nacso-Watch-Task-Scheduler'
2021-10-14 16:50:50.411 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8001"]
2021-10-14 16:50:50.431 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8001 (http) with context path ''
2021-10-14 16:50:50.503 [main] INFO  c.a.cloud.nacos.registry.NacosServiceRegistry - nacos registry, DEFAULT_GROUP service-edu 192.168.1.103:8001 register finished
2021-10-14 16:50:50.549 [main] INFO  s.d.s.web.plugins.DocumentationPluginsBootstrapper - Context refreshed
2021-10-14 16:50:50.561 [main] INFO  s.d.s.web.plugins.DocumentationPluginsBootstrapper - Found 1 custom documentation plugin(s)
2021-10-14 16:50:50.588 [main] INFO  s.d.spring.web.scanners.ApiListingReferenceScanner - Scanning for api listing references
2021-10-14 16:50:50.853 [main] INFO  com.Surnia.eduService.ServiceEduMain8001 - Started ServiceEduMain8001 in 6.226 seconds (JVM running for 8.115)
2021-10-14 16:50:51.416 [RMI TCP Connection(8)-192.168.1.103] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2021-10-14 16:50:51.417 [RMI TCP Connection(8)-192.168.1.103] INFO  org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2021-10-14 16:50:51.425 [RMI TCP Connection(8)-192.168.1.103] INFO  org.springframework.web.servlet.DispatcherServlet - Completed initialization in 8 ms
2021-10-14 17:04:50.876 [http-nio-8001-exec-7] INFO  com.Surnia.commons.handler.MyMetaObjectHandler - start update fill ....
2021-10-14 17:04:50.877 [http-nio-8001-exec-7] INFO  com.Surnia.commons.handler.MyMetaObjectHandler - update gmtModified fill ....value:Thu Oct 14 17:04:50 CST 2021
2021-10-14 17:05:51.263 [http-nio-8001-exec-6] INFO  com.Surnia.commons.handler.MyMetaObjectHandler - start update fill ....
2021-10-14 17:05:51.263 [http-nio-8001-exec-6] INFO  com.Surnia.commons.handler.MyMetaObjectHandler - update gmtModified fill ....value:Thu Oct 14 17:05:51 CST 2021
2021-10-14 17:05:53.226 [http-nio-8001-exec-9] INFO  com.Surnia.commons.handler.MyMetaObjectHandler - start update fill ....
2021-10-14 17:05:53.226 [http-nio-8001-exec-9] INFO  com.Surnia.commons.handler.MyMetaObjectHandler - update gmtModified fill ....value:Thu Oct 14 17:05:53 CST 2021
2021-10-14 17:15:08.360 [http-nio-8001-exec-9] INFO  com.Surnia.commons.handler.MyMetaObjectHandler - start update fill ....
2021-10-14 17:15:08.360 [http-nio-8001-exec-9] INFO  com.Surnia.commons.handler.MyMetaObjectHandler - update gmtModified fill ....value:Thu Oct 14 17:15:08 CST 2021
2021-10-14 17:15:09.408 [http-nio-8001-exec-10] INFO  com.Surnia.commons.handler.MyMetaObjectHandler - start update fill ....
2021-10-14 17:15:09.409 [http-nio-8001-exec-10] INFO  com.Surnia.commons.handler.MyMetaObjectHandler - update gmtModified fill ....value:Thu Oct 14 17:15:09 CST 2021
2021-10-14 18:06:35.029 [http-nio-8001-exec-4] INFO  com.Surnia.commons.handler.MyMetaObjectHandler - start update fill ....
2021-10-14 18:06:35.030 [http-nio-8001-exec-4] INFO  com.Surnia.commons.handler.MyMetaObjectHandler - update gmtModified fill ....value:Thu Oct 14 18:06:35 CST 2021
2021-10-14 18:06:36.071 [http-nio-8001-exec-3] INFO  com.Surnia.commons.handler.MyMetaObjectHandler - start update fill ....
2021-10-14 18:06:36.071 [http-nio-8001-exec-3] INFO  com.Surnia.commons.handler.MyMetaObjectHandler - update gmtModified fill ....value:Thu Oct 14 18:06:36 CST 2021
